Date-Month,Precipitation,Temperature,WTE,FCH4 Date-Month,FCH4_Avg,FCO2 Date-Month,FC02_Avg
1990-01,0.125,18.275,413.56,2009-04,13.47,2009-01,-0.070728749
1990-02,0.08,12.812,413.52,2009-05,23.44,2009-02,0.002064405
1990-03,0.165,28.454,413.48,2009-06,48.63,2009-03,-0.248664831
1990-04,0.2,40.883,413.51,2009-07,59.3,2009-04,-0.522134822
1990-05,0.07,50.81,413.56,2009-08,67.31,2009-05,-1.444106716
1990-06,0.46,63.716,413.58,2009-09,46.16,2009-06,-2.278444191
1990-07,0.145,66.254,413.56,2009-10,27.02,2009-07,-3.718233571
1990-08,0.07,66.695,413.48,2009-11,19,2009-08,-3.519290901
1990-09,0.15,56.057,413.42,2009-12,10.05,2009-09,-1.798406067
1990-10,0.345,40.451,413.39,2010-01,9.93,2009-10,-0.377087433
1990-11,0.05,29.876,413.38,2010-02,7.64,2009-11,-0.459176873
1990-12,0.095,9.383,413.36,2010-03,10,2009-12,-0.32699218
1991-01,0.08,3.632,413.32,2010-04,12.04,2010-01,-0.134048697
1991-02,0.095,17.951,413.28,2010-05,14.3,2010-02,-0.217298968
1991-03,0.12,28.58,413.26,2010-06,22.2,2010-03,-0.521260732
1991-04,0.235,45.374,413.26,2010-07,46.77,2010-04,-0.982676723
1991-05,0.275,59.351,413.33,2010-08,66.35,2010-05,-1.267191861
1991-06,0.34,65.84,413.35,2010-09,55.59,2010-06,-2.753788936
1991-07,0.245,66.983,413.34,2010-10,36.09,2010-07,-3.526297898
1991-08,0.2,68.459,413.27,2010-11,18.8,2010-08,-2.756569508
1991-09,0.285,54.5,413.23,2010-12,13.04,2010-09,-1.675022828
1991-10,0.15,40.01,413.23,2011-01,10.01,2010-10,-0.579250897
1991-11,0.24,20.39,413.22,2011-02,8.73,2010-11,-0.169618611
1991-12,0.1,12.776,413.21,2011-03,8.05,2010-12,-0.065565965
1992-01,0.05,14.342,413.18,2011-04,12.94,2011-01,-0.017848344
1992-02,0.1,19.58,413.16,2011-05,22.77,2011-02,-0.095049415
1992-03,0.085,26.483,413.14,2011-06,14.58,2011-03,-0.385911983
1992-04,0.145,36.14,413.15,2011-07,29.5,2011-04,-0.812429344
1992-05,0.3,53.366,413.21,2011-09,56.43,2011-05,-1.347334434
1992-06,0.565,57.38,413.25,2011-10,48.64,2011-06,-2.756256045
1992-07,0.35,58.532,413.31,2011-11,29.27,2011-07,-4.05492851
1992-08,0.485,59.117,413.32,2011-12,15.89,2011-08,-4.230457807
1992-09,0.295,51.566,413.34,2012-01,16.87,2011-09,-2.477226349
1992-10,0.02,39.983,413.38,2012-02,14.01,2011-10,-0.761331365
1992-11,0.12,24.197,413.37,2012-03,17.12,2011-11,-0.270720471
1992-12,0.16,9.707,413.36,2012-04,19.35,2011-12,-0.2899162
1993-01,0.085,5.729,413.3,2012-05,29.22,2012-01,-0.347805673
1993-02,0.015,10.661,413.27,2012-06,58.21,2012-02,-0.308413184
1993-03,0.09,24.89,413.23,2012-07,46.27,2012-03,-0.490449262
1993-04,0.235,37.4,413.24,2012-08,34.47,2012-04,-0.873513748
1993-05,0.21,49.1,413.34,2012-09,56.17,2012-05,-1.646015315
1993-06,0.36,57.83,413.37,2012-10,38.03,2012-06,-3.264889574
1993-07,0.63,63.527,413.39,2012-11,18.8,2012-07,-2.400856386
1993-08,0.325,64.112,413.46,2012-12,12.56,2012-08,-3.079014467
1993-09,0.27,48.353,413.45,2013-04,10.36,2012-09,-1.269438412
1993-10,0.095,37.166,413.46,2013-05,13.23,2012-10,-0.535890634
1993-11,0.205,20.39,413.46,2013-06,48.74,2012-11,-0.406338678
1993-12,0.105,12.227,413.44,2014-01,13.77,2012-12,-0.27298042
1994-01,0.08,-6.088,413.42,2014-02,9.04,2013-01,-0.177036785
1994-02,0.07,4.352,413.39,2014-03,10.73,2013-02,-0.218174285
1994-03,0.095,26.285,413.37,2014-05,28.14,2013-03,-0.185124882
1994-04,0.24,37.076,413.36,2014-06,46.88,2013-04,-0.110900333
1994-05,0.22,52.583,413.48,2014-07,41.52,2013-05,-0.712072729
1994-06,0.735,62.024,413.52,2014-08,77.54,2013-06,-3.815602408
1994-07,0.295,63.617,413.61,2014-09,64.03,2013-07,-3.906552973
1994-08,0.33,60.539,413.61,2014-10,48.36,2013-08,-4.228207859
1994-09,0.265,56.633,413.59,2014-12,14.3,2013-09,-2.087283084
1994-10,0.215,44.69,413.59,2015-03,17.48,2013-10,-0.892259691
1994-11,0.17,28.787,413.62,2015-04,19.21,2013-11,-0.256764879
1994-12,0.055,16.322,413.59,2015-05,19.93,2013-12,-0.317246744
1995-01,0.095,8.654,413.55,2015-07,60.81,2014-01,-0.225906598
1995-02,0.085,6.962,413.49,2015-08,51.84,2014-02,-0.192748635
1995-03,0.08,26.951,413.52,2015-09,47.21,2014-03,-0.150318654
1995-04,0.14,33.476,413.55,2015-10,40.25,2014-04,-1.050383733
1995-05,0.215,50.495,413.59,2015-11,11.95,2014-05,-1.214392975
1995-06,0.155,65.39,413.53,2015-12,17.58,2014-06,-3.025618532
1995-07,0.58,65.3,413.53,2016-01,9.59,2014-07,-4.464104373
1995-08,0.36,64.571,413.48,2016-02,8.65,2014-08,-3.510583929
1995-09,0.545,51.593,413.54,2016-03,10.15,2014-09,-2.600769596
1995-10,0.335,39.551,413.58,2016-04,12.35,2014-10,-0.517199688
1995-11,0.16,15.593,413.58,2016-05,22.15,2014-11,-0.370181425
1995-12,0.18,5.846,413.57,2016-06,52.07,2014-12,-0.333346569
1996-01,0.18,-5.395,413.56,2016-07,61.53,2015-01,-0.598649
1996-02,0.165,7.448,413.52,2016-08,86.18,2015-02,-0.624300101
1996-03,0.08,15.683,413.5,2016-09,68.95,2015-03,-0.465495266
1996-04,0.14,33.71,413.69,2016-10,45.38,2015-04,-0.736008844
1996-05,0.16,48.083,413.71,2016-11,31.65,2015-05,-0.957339601
1996-06,0.36,60.89,413.69,2016-12,15.64,2015-06,-2.015678688
1996-07,0.38,62.132,413.69,2017-01,10.77,2015-07,-2.097091341
1996-08,0.11,64.517,413.63,2017-02,7.94,2015-08,-2.249540463
1996-09,0.33,53.24,413.61,2017-03,8.85,2015-09,-1.11521805
1996-10,0.38,39.164,413.61,2017-04,35.13,2015-10,-0.686908212
1996-11,0.315,17.267,413.63,2017-05,39.2,2015-11,-0.292745691
1996-12,0.13,5.783,413.59,2017-06,71.12,2015-12,-0.283814229
1997-01,0.195,1.49,413.56,2017-07,89.49,2016-01,-0.085007259
1997-02,0.05,11.39,413.53,2017-08,77.64,2016-02,0.027448896
1997-03,0.16,21.695,413.56,2017-09,62.12,2016-03,-0.469383933
1997-04,0.09,35.717,413.67,2017-10,44.33,2016-04,-0.720966
1997-05,0.2,44.6,413.7,2017-11,24.61,2016-05,-1.150435506
1997-06,0.51,62.717,413.71,2017-12,16.57,2016-06,-2.518007379
1997-07,0.45,64.256,413.71,2018-01,13.05,2016-07,-3.063798106
1997-08,0.14,59.729,413.67,2018-02,11.48,2016-08,-3.204370598
1997-09,0.365,55.913,413.66,2018-03,11.99,2016-09,-1.496250247
1997-10,0.225,40.451,413.65,2018-04,12.43,2016-10,-0.627748172
1997-11,0.13,21.29,413.64,2018-05,19.94,2016-11,-0.234448962
1997-12,0.025,19.112,413.6,2018-06,43.44,2016-12,0.086110825
1998-01,0.07,11.273,413.58,2018-07,83.41,2017-01,-0.067000896
1998-02,0.1,25.673,413.57,2018-08,68.5,2017-02,-0.012102069
1998-03,0.145,23.9,413.58,2018-09,58.01,2017-03,-0.334325313
1998-04,0.07,42.08,413.58,2018-10,32.13,2017-04,-0.481007225
1998-05,0.37,53.861,413.59,2018-11,21.29,2017-05,-1.219516998
1998-06,0.365,57.596,413.56,2018-12,17.56,2017-06,-2.482012113
1998-07,0.26,63.437,413.52,2019-01,11.23,2017-07,-2.759271468
1998-08,0.21,64.751,413.49,2019-02,11.33,2017-08,-2.695409899
1998-09,0.28,55.697,413.47,2019-03,11.43,2017-09,-1.358738288
1998-10,0.39,40.388,413.46,2019-04,13.11,2017-10,-0.730759348
1998-11,0.22,25.16,413.46,2019-05,25.97,2017-11,-0.135576316
1998-12,0.14,10.283,413.45,2019-06,53.33,2017-12,-0.490271045
1999-01,0.07,3.488,413.45,2019-07,61.95,2018-01,-0.335782107
1999-02,0.095,18.311,413.41,2019-08,65.93,2018-02,-0.401614176
1999-03,0.145,26.429,413.48,2019-09,53.48,2018-03,-0.374910674
1999-04,0.16,40.1,413.53,2019-10,35.06,2018-04,-0.342806016
1999-05,0.425,50.729,413.58,2019-11,18.83,2018-05,-1.121077623
1999-06,0.33,59.18,413.65,2019-12,15.49,2018-06,-2.129507686
1999-07,0.89,65.705,413.69,2020-01,11.47,2018-07,-2.631765561
1999-08,0.375,60.341,413.74,2020-02,10.17,2018-08,-2.505065345
1999-09,0.385,49.127,413.73,2020-03,8.58,2018-09,-1.263651149
1999-10,0.12,36.437,413.75,2020-04,18.23,2018-10,-0.674623852
1999-11,0.01,29.48,413.72,2020-05,31.22,2018-11,-0.576205353
1999-12,0.045,14.99,413.66,2020-06,43.07,2018-12,-0.322105158
2000-01,0.06,3.461,413.6,2020-07,67.05,2019-01,-0.268132518
2000-02,0.075,18.185,413.56,2020-08,61.74,2019-02,-0.333265164
2000-03,0.125,30.578,413.56,2020-09,71.64,2019-03,-0.205071333
2000-04,0.14,36.95,413.58,2020-10,43.37,2019-04,-0.721353631
2000-05,0.195,50.468,413.57,2020-11,22.14,2019-05,-1.784263841
2000-06,0.44,54.617,413.58,2020-12,19.26,2019-06,-2.760169461
2000-07,0.235,64.364,413.53,2021-01,16.22,2019-07,-2.556933186
2000-08,0.355,60.827,413.5,2021-02,12.51,2019-08,-2.18092116
2000-09,0.145,48.047,413.48,2021-03,13.92,2019-09,-1.470922678
2000-10,0.26,40.253,413.49,2021-04,19.49,2019-10,-0.69481324
2000-11,0.35,23.18,413.5,2021-05,21.58,2019-11,-0.562051163
2000-12,0.085,-4.207,413.48,2021-06,44.1,2019-12,-0.34209981
2001-01,0.06,12.461,413.44,2021-07,39.36,2020-01,-0.482638309
2001-02,0.185,0.887,413.41,2021-08,30.99,2020-02,-0.377384043
2001-03,0.04,22.658,413.4,2021-09,30.76,2020-03,-0.297288583
2001-04,0.41,37.85,413.55,2021-10,28.54,2020-04,-0.765010899
2001-05,0.355,50.576,413.64,2021-11,18.57,2020-05,-1.028011239
2001-06,0.435,59.54,413.71,2021-12,10.25,2020-06,-1.862048321
2001-07,0.205,63.68,413.67,,,2020-07,-2.569834062
2001-08,0.275,63.005,413.64,,,2020-08,-2.626357875
2001-09,0.13,53.456,413.61,,,2020-09,-2.289879993
2001-10,0.32,40.037,413.6,,,2020-10,-0.206353335
2001-11,0.215,35.996,413.6,,,2020-11,-0.494126889
2001-12,0.105,18.734,413.59,,,2020-12,-0.529610974
2002-01,0.03,13.127,413.55,,,2021-01,-0.534209067
2002-02,0.02,19.886,413.52,,,2021-02,-0.655321087
2002-03,0.11,16.295,413.49,,,2021-03,-0.716524691
2002-04,0.095,36.383,413.51,,,2021-04,-0.860022954
2002-05,0.2,46.346,413.52,,,2021-05,-1.388542136
2002-06,0.74,64.67,413.65,,,2021-06,-2.210189889
2002-07,0.385,68.927,413.64,,,2021-07,-1.720323574
2002-08,0.22,63.707,413.61,,,2021-08,-1.376852963
2002-09,0.175,56.417,413.57,,,2021-09,-1.027770139
2002-10,0.26,32.261,413.57,,,2021-10,-0.464367241
2002-11,0.05,22.847,413.53,,,2021-11,-0.321412418
2002-12,0.045,16.925,413.51,,,2021-12,-0.382375132
2003-01,0.02,5.495,413.46,,,,
2003-02,0.03,5.126,413.44,,,,
2003-03,0.055,22.307,413.41,,,,
2003-04,0.155,39.29,413.41,,,,
2003-05,0.285,50.81,413.43,,,,
2003-06,0.34,60.566,413.42,,,,
2003-07,0.5,65.705,413.42,,,,
2003-08,0.18,66.659,413.38,,,,
2003-09,0.19,53.357,413.35,,,,
2003-10,0.15,40.649,413.34,,,,
2003-11,0.165,21.47,413.33,,,,
2003-12,0.07,16.7,413.3,,,,
2004-01,0.105,-1.597,413.28,,,,
2004-02,0.06,15.8,413.26,,,,
2004-03,0.15,26.798,413.27,,,,
2004-04,0.1,38.426,413.31,,,,
2004-05,0.335,45.644,413.32,,,,
2004-06,0.225,56.57,413.33,,,,
2004-07,0.36,62.312,413.3,,,,
2004-08,0.215,56.003,413.28,,,,
2004-09,0.625,58.577,413.34,,,,
2004-10,0.275,41.495,413.35,,,,
2004-11,0.04,28.76,413.36,,,,
2004-12,0.165,10.193,413.33,,,,
2005-01,0.225,1.976,413.32,,,,
2005-02,0.055,15.89,413.29,,,,
2005-03,0.07,21.956,413.32,,,,
2005-04,0.06,43.79,413.4,,,,
2005-05,0.45,49.676,413.5,,,,
2005-06,0.39,63.464,413.5,,,,
2005-07,0.14,68.432,413.47,,,,
2005-08,0.15,63.059,413.36,,,,
2005-09,0.225,56.336,413.36,,,,
2005-10,0.32,43.358,413.36,,,,
2005-11,0.34,26.987,413.36,,,,
2005-12,0.105,14.549,413.35,,,,
2006-01,0.045,19.985,413.31,,,,
2006-02,0.105,7.475,413.29,,,,
2006-03,0.195,27.536,413.32,,,,
2006-04,0.115,44.744,413.39,,,,
2006-05,0.24,53.924,413.42,,,,
2006-06,0.24,61.574,413.37,,,,
2006-07,0.155,68.963,413.31,,,,
2006-08,0.13,64.166,413.25,,,,
2006-09,0.215,52.187,413.23,,,,
2006-10,0.16,36.095,413.23,,,,
2006-11,0.125,27.32,413.22,,,,
2006-12,0.105,19.436,413.2,,,,
2007-01,0.02,10.202,413.15,,,,
2007-02,0.1,4.1,413.13,,,,
2007-03,0.225,26.132,413.16,,,,
2007-04,0.215,36.95,413.2,,,,
2007-05,0.245,54.437,413.24,,,,
2007-06,0.31,62.69,413.23,,,,
2007-07,0.175,65.732,413.13,,,,
2007-08,0.155,62.681,413.09,,,,
2007-09,0.53,54.437,413.11,,,,
2007-10,0.35,45.356,413.15,,,,
2007-11,0.055,26.267,413.15,,,,
2007-12,0.15,9.77,413.13,,,,
2008-01,0.02,6.683,413.11,,,,
2008-02,0.04,6.926,413.08,,,,
2008-03,0.04,21.029,413.07,,,,
2008-04,0.48,35.816,413.21,,,,
2008-05,0.185,46.868,413.26,,,,
2008-06,0.375,59.684,413.28,,,,
2008-07,0.38,64.661,413.26,,,,
2008-08,0.065,64.193,413.21,,,,
2008-09,0.24,54.68,413.19,,,,
2008-10,0.26,42.836,413.19,,,,
2008-11,0.11,26.537,413.18,,,,
2008-12,0.21,2.939,413.16,,,,
2009-01,0.08,0.059,413.13,,,,
2009-02,0.09,12.497,413.12,,,,
2009-03,0.325,23.612,413.18,,,,
2009-04,0.125,39.83,413.28,,,,
2009-05,0.265,48.407,413.32,,,,
2009-06,0.175,58.577,413.3,,,,
2009-07,0.26,60.602,413.26,,,,
2009-08,0.325,61.295,413.24,,,,
2009-09,0.04,60.503,413.2,,,,
2009-10,0.315,36.788,413.2,,,,
2009-11,0.115,34.664,413.21,,,,
2009-12,0.12,9.383,413.19,,,,
2010-01,0.085,7.988,413.16,,,,
2010-02,0.02,13.424,413.13,,,,
2010-03,0.05,35.6,413.14,,,,
2010-04,0.095,46.4,413.15,,,,
2010-05,0.215,53.42,413.16,,,,
2010-06,0.39,59.36,413.15,,,,
2010-07,0.435,67.1,413.16,,,,
2010-08,0.535,67.046,413.19,,,,
2010-09,0.38,49.82,413.2,,,,
2010-10,0.24,45.293,413.23,,,,
2010-11,0.17,28.22,413.23,,,,
2010-12,0.205,9.644,413.21,,,,
2011-01,0.15,3.056,413.19,,,,
2011-02,0.03,11.363,413.17,,,,
2011-03,0.035,23.063,413.16,,,,
2011-04,0.355,38.777,413.3,,,,
2011-05,0.2,51.161,413.33,,,,
2011-06,0.545,59.027,413.39,,,,
2011-07,0.29,68.72,413.41,,,,
2011-08,0.4,66.02,413.41,,,,
2011-09,0.105,53.96,413.39,,,,
2011-10,0.215,46.139,413.38,,,,
2011-11,0.08,30.38,413.35,,,,
2011-12,0.03,19.175,413.34,,,,
2012-01,0.095,13.829,413.29,,,,
2012-02,0.12,20.426,413.26,,,,
2012-03,0.185,37.571,413.28,,,,
2012-04,0.395,41.117,413.38,,,,
2012-05,0.46,54.392,413.43,,,,
2012-06,0.335,63.176,413.41,,,,
2012-07,0.32,70.358,413.39,,,,
2012-08,0.15,64.373,413.35,,,,
2012-09,0.05,53.69,413.3,,,,
2012-10,0.21,40.298,413.28,,,,
2012-11,0.195,28.553,413.27,,,,
2012-12,0.1,13.442,413.25,,,,
2013-01,0.185,8.654,413.22,,,,
2013-02,0.135,10.976,413.2,,,,
2013-03,0.195,19.922,413.19,,,,
2013-04,0.325,32.576,413.28,,,,
2013-05,0.23,49.01,413.34,,,,
2013-06,0.3,60.26,413.34,,,,
2013-07,0.315,65.795,413.34,,,,
2013-08,0.195,66.11,413.29,,,,
2013-09,0.115,57.677,413.25,,,,
2013-10,0.28,41.873,413.25,,,,
2013-11,0.085,25.34,413.24,,,,
2013-12,0.18,-0.49,413.2,,,,
2014-01,0.085,-2.371,413.18,,,,
2014-02,0.155,1.562,413.16,,,,
2014-03,0.12,16.61,413.15,,,,
2014-04,0.26,34.7,413.25,,,,
2014-05,0.355,52.088,413.41,,,,
2014-06,0.73,61.853,413.43,,,,
2014-07,0.265,63.878,413.43,,,,
2014-08,0.29,63.851,413.41,,,,
2014-09,0.17,55.256,413.41,,,,
2014-10,0.13,42.575,413.4,,,,
2014-11,0.055,19.49,413.36,,,,
2014-12,0.06,19.076,413.34,,,,
2015-01,0.06,9.707,413.32,,,,
2015-02,0.06,2.849,413.28,,,,
2015-03,0.09,28.4,413.28,,,,
2015-04,0.085,40.847,413.27,,,,
2015-05,0.505,50.549,413.4,,,,
2015-06,0.3,61.394,413.37,,,,
2015-07,0.325,67.649,413.3,,,,
2015-08,0.515,63.968,413.26,,,,
2015-09,0.535,60.62,413.26,,,,
2015-10,0.24,44.402,413.26,,,,
2015-11,0.31,33.764,413.3,,,,
2015-12,0.195,23.198,413.3,,,,
2016-01,0.09,11.003,413.28,,,,
2016-02,0.105,15.737,413.26,,,,
2016-03,0.24,32.693,413.35,,,,
2016-04,0.21,39.146,413.41,,,,
2016-05,0.15,54.293,413.4,,,,
2016-06,0.315,61.034,413.39,,,,
2016-07,0.41,66.632,413.4,,,,
2016-08,0.41,65.795,413.38,,,,
2016-09,0.385,57.317,413.4,,,,
2016-10,0.09,45.41,413.38,,,,
2016-11,0.3,36.68,413.41,,,,
2016-12,0.195,11.795,413.34,,,,
2017-01,0.14,12.371,413.31,,,,
2017-02,0.14,18.248,413.32,,,,
2017-03,0.095,25.151,413.38,,,,
2017-04,0.235,42.197,413.45,,,,
2017-05,0.175,50.927,413.46,,,,
2017-06,0.35,61.736,413.44,,,,
2017-07,0.185,66.785,413.41,,,,
2017-08,0.315,61.583,413.36,,,,
2017-09,0.38,57.803,413.36,,,,
2017-10,0.22,43.205,413.36,,,,
2017-11,0.115,23.477,413.35,,,,
2017-12,0.095,8.393,413.31,,,,
2018-01,0.095,8.69,413.28,,,,
2018-02,0.175,6.737,413.26,,,,
2018-03,0.085,26.483,413.24,,,,
2018-04,0.09,32.063,413.29,,,,
2018-05,0.24,58.28,413.36,,,,
2018-06,0.475,63.41,413.35,,,,
2018-07,0.33,67.496,413.35,,,,
2018-08,0.12,65.183,413.29,,,,
2018-09,0.325,55.13,413.28,,,,
2018-10,0.375,37.553,413.28,,,,
2018-11,0.105,20.444,413.26,,,,
2018-12,0.175,16.934,413.24,,,,
2019-01,0.08,2.669,413.22,,,,
2019-02,0.25,9.635,413.19,,,,
2019-03,0.16,22.829,413.28,,,,
2019-04,0.375,38.84,413.41,,,,
2019-05,0.225,48.002,412.58,,,,
2019-06,0.245,60.98,413.4,,,,
2019-07,0.24,68.45,413.35,,,,
2019-08,0.25,60.944,412.51,,,,
2019-09,0.435,54.302,413.36,,,,
2019-10,0.345,41.333,413.19,,,,
2019-11,0.21,23.063,413.37,,,,
2019-12,0.245,13.451,411.12,,,,
,,,411.08,,,,
,,,411.14,,,,
,,,411.22,,,,
,,,411.21,,,,
,,,411.17,,,,
,,,411.2,,,,
,,,411.21,,,,
,,,411.18,,,,
,,,411.19,,,,
,,,411.16,,,,
,,,411.1,,,,
