Date-Month,South Precipitation Mean,North Precipitation Mean,Cumulative Precipitation Mean
1990-01,0.12,0.13,0.125
1990-02,0.08,0.08,0.08
1990-03,0.17,0.16,0.165
1990-04,0.18,0.22,0.2
1990-05,0.08,0.06,0.07
1990-06,0.43,0.49,0.46
1990-07,0.14,0.15,0.145
1990-08,0.08,0.06,0.07
1990-09,0.15,0.15,0.15
1990-10,0.36,0.33,0.345
1990-11,0.05,0.05,0.05
1990-12,0.09,0.1,0.095
1991-01,0.08,0.08,0.08
1991-02,0.1,0.09,0.095
1991-03,0.13,0.11,0.12
1991-04,0.23,0.24,0.235
1991-05,0.25,0.3,0.275
1991-06,0.35,0.33,0.34
1991-07,0.24,0.25,0.245
1991-08,0.21,0.19,0.2
1991-09,0.29,0.28,0.285
1991-10,0.15,0.15,0.15
1991-11,0.24,0.24,0.24
1991-12,0.1,0.1,0.1
1992-01,0.05,0.05,0.05
1992-02,0.1,0.1,0.1
1992-03,0.09,0.08,0.085
1992-04,0.14,0.15,0.145
1992-05,0.28,0.32,0.3
1992-06,0.67,0.46,0.565
1992-07,0.37,0.33,0.35
1992-08,0.46,0.51,0.485
1992-09,0.31,0.28,0.295
1992-10,0.02,0.02,0.02
1992-11,0.12,0.12,0.12
1992-12,0.15,0.17,0.16
1993-01,0.08,0.09,0.085
1993-02,0.01,0.02,0.015
1993-03,0.1,0.08,0.09
1993-04,0.24,0.23,0.235
1993-05,0.22,0.2,0.21
1993-06,0.35,0.37,0.36
1993-07,0.66,0.6,0.63
1993-08,0.29,0.36,0.325
1993-09,0.23,0.31,0.27
1993-10,0.09,0.1,0.095
1993-11,0.21,0.2,0.205
1993-12,0.11,0.1,0.105
1994-01,0.08,0.08,0.08
1994-02,0.07,0.07,0.07
1994-03,0.1,0.09,0.095
1994-04,0.24,0.24,0.24
1994-05,0.21,0.23,0.22
1994-06,0.74,0.73,0.735
1994-07,0.31,0.28,0.295
1994-08,0.36,0.3,0.33
1994-09,0.26,0.27,0.265
1994-10,0.21,0.22,0.215
1994-11,0.17,0.17,0.17
1994-12,0.05,0.06,0.055
1995-01,0.09,0.1,0.095
1995-02,0.08,0.09,0.085
1995-03,0.08,0.08,0.08
1995-04,0.14,0.14,0.14
1995-05,0.21,0.22,0.215
1995-06,0.18,0.13,0.155
1995-07,0.62,0.54,0.58
1995-08,0.3,0.42,0.36
1995-09,0.55,0.54,0.545
1995-10,0.33,0.34,0.335
1995-11,0.16,0.16,0.16
1995-12,0.18,0.18,0.18
1996-01,0.18,0.18,0.18
1996-02,0.16,0.17,0.165
1996-03,0.08,0.08,0.08
1996-04,0.14,0.14,0.14
1996-05,0.18,0.14,0.16
1996-06,0.37,0.35,0.36
1996-07,0.37,0.39,0.38
1996-08,0.11,0.11,0.11
1996-09,0.35,0.31,0.33
1996-10,0.37,0.39,0.38
1996-11,0.31,0.32,0.315
1996-12,0.13,0.13,0.13
1997-01,0.2,0.19,0.195
1997-02,0.05,0.05,0.05
1997-03,0.16,0.16,0.16
1997-04,0.08,0.1,0.09
1997-05,0.2,0.2,0.2
1997-06,0.52,0.5,0.51
1997-07,0.46,0.44,0.45
1997-08,0.15,0.13,0.14
1997-09,0.35,0.38,0.365
1997-10,0.23,0.22,0.225
1997-11,0.13,0.13,0.13
1997-12,0.03,0.02,0.025
1998-01,0.07,0.07,0.07
1998-02,0.1,0.1,0.1
1998-03,0.14,0.15,0.145
1998-04,0.07,0.07,0.07
1998-05,0.39,0.35,0.37
1998-06,0.37,0.36,0.365
1998-07,0.28,0.24,0.26
1998-08,0.2,0.22,0.21
1998-09,0.26,0.3,0.28
1998-10,0.39,0.39,0.39
1998-11,0.21,0.23,0.22
1998-12,0.14,0.14,0.14
1999-01,0.07,0.07,0.07
1999-02,0.09,0.1,0.095
1999-03,0.14,0.15,0.145
1999-04,0.16,0.16,0.16
1999-05,0.4,0.45,0.425
1999-06,0.28,0.38,0.33
1999-07,0.88,0.9,0.89
1999-08,0.37,0.38,0.375
1999-09,0.39,0.38,0.385
1999-10,0.11,0.13,0.12
1999-11,0.01,0.01,0.01
1999-12,0.04,0.05,0.045
2000-01,0.06,0.06,0.06
2000-02,0.08,0.07,0.075
2000-03,0.13,0.12,0.125
2000-04,0.13,0.15,0.14
2000-05,0.19,0.2,0.195
2000-06,0.44,0.44,0.44
2000-07,0.25,0.22,0.235
2000-08,0.3,0.41,0.355
2000-09,0.15,0.14,0.145
2000-10,0.26,0.26,0.26
2000-11,0.35,0.35,0.35
2000-12,0.08,0.09,0.085
2001-01,0.06,0.06,0.06
2001-02,0.18,0.19,0.185
2001-03,0.04,0.04,0.04
2001-04,0.41,0.41,0.41
2001-05,0.36,0.35,0.355
2001-06,0.47,0.4,0.435
2001-07,0.19,0.22,0.205
2001-08,0.27,0.28,0.275
2001-09,0.13,0.13,0.13
2001-10,0.33,0.31,0.32
2001-11,0.21,0.22,0.215
2001-12,0.11,0.1,0.105
2002-01,0.03,0.03,0.03
2002-02,0.02,0.02,0.02
2002-03,0.11,0.11,0.11
2002-04,0.09,0.1,0.095
2002-05,0.21,0.19,0.2
2002-06,0.86,0.62,0.74
2002-07,0.43,0.34,0.385
2002-08,0.23,0.21,0.22
2002-09,0.16,0.19,0.175
2002-10,0.27,0.25,0.26
2002-11,0.05,0.05,0.05
2002-12,0.04,0.05,0.045
2003-01,0.02,0.02,0.02
2003-02,0.03,0.03,0.03
2003-03,0.05,0.06,0.055
2003-04,0.15,0.16,0.155
2003-05,0.3,0.27,0.285
2003-06,0.36,0.32,0.34
2003-07,0.54,0.46,0.5
2003-08,0.17,0.19,0.18
2003-09,0.2,0.18,0.19
2003-10,0.15,0.15,0.15
2003-11,0.15,0.18,0.165
2003-12,0.07,0.07,0.07
2004-01,0.1,0.11,0.105
2004-02,0.06,0.06,0.06
2004-03,0.16,0.14,0.15
2004-04,0.1,0.1,0.1
2004-05,0.32,0.35,0.335
2004-06,0.21,0.24,0.225
2004-07,0.37,0.35,0.36
2004-08,0.24,0.19,0.215
2004-09,0.64,0.61,0.625
2004-10,0.27,0.28,0.275
2004-11,0.04,0.04,0.04
2004-12,0.16,0.17,0.165
2005-01,0.22,0.23,0.225
2005-02,0.05,0.06,0.055
2005-03,0.07,0.07,0.07
2005-04,0.06,0.06,0.06
2005-05,0.46,0.44,0.45
2005-06,0.37,0.41,0.39
2005-07,0.11,0.17,0.14
2005-08,0.12,0.18,0.15
2005-09,0.25,0.2,0.225
2005-10,0.31,0.33,0.32
2005-11,0.33,0.35,0.34
2005-12,0.1,0.11,0.105
2006-01,0.05,0.04,0.045
2006-02,0.11,0.1,0.105
2006-03,0.19,0.2,0.195
2006-04,0.11,0.12,0.115
2006-05,0.26,0.22,0.24
2006-06,0.24,0.24,0.24
2006-07,0.16,0.15,0.155
2006-08,0.16,0.1,0.13
2006-09,0.22,0.21,0.215
2006-10,0.15,0.17,0.16
2006-11,0.12,0.13,0.125
2006-12,0.1,0.11,0.105
2007-01,0.02,0.02,0.02
2007-02,0.1,0.1,0.1
2007-03,0.23,0.22,0.225
2007-04,0.21,0.22,0.215
2007-05,0.23,0.26,0.245
2007-06,0.3,0.32,0.31
2007-07,0.14,0.21,0.175
2007-08,0.16,0.15,0.155
2007-09,0.44,0.62,0.53
2007-10,0.33,0.37,0.35
2007-11,0.05,0.06,0.055
2007-12,0.15,0.15,0.15
2008-01,0.02,0.02,0.02
2008-02,0.04,0.04,0.04
2008-03,0.04,0.04,0.04
2008-04,0.47,0.49,0.48
2008-05,0.19,0.18,0.185
2008-06,0.4,0.35,0.375
2008-07,0.3,0.46,0.38
2008-08,0.07,0.06,0.065
2008-09,0.24,0.24,0.24
2008-10,0.25,0.27,0.26
2008-11,0.11,0.11,0.11
2008-12,0.21,0.21,0.21
2009-01,0.08,0.08,0.08
2009-02,0.09,0.09,0.09
2009-03,0.33,0.32,0.325
2009-04,0.13,0.12,0.125
2009-05,0.27,0.26,0.265
2009-06,0.17,0.18,0.175
2009-07,0.27,0.25,0.26
2009-08,0.33,0.32,0.325
2009-09,0.04,0.04,0.04
2009-10,0.32,0.31,0.315
2009-11,0.11,0.12,0.115
2009-12,0.12,0.12,0.12
2010-01,0.08,0.09,0.085
2010-02,0.02,0.02,0.02
2010-03,0.05,0.05,0.05
2010-04,0.09,0.1,0.095
2010-05,0.23,0.2,0.215
2010-06,0.35,0.43,0.39
2010-07,0.42,0.45,0.435
2010-08,0.53,0.54,0.535
2010-09,0.38,0.38,0.38
2010-10,0.25,0.23,0.24
2010-11,0.18,0.16,0.17
2010-12,0.22,0.19,0.205
2011-01,0.16,0.14,0.15
2011-02,0.03,0.03,0.03
2011-03,0.04,0.03,0.035
2011-04,0.36,0.35,0.355
2011-05,0.19,0.21,0.2
2011-06,0.46,0.63,0.545
2011-07,0.34,0.24,0.29
2011-08,0.42,0.38,0.4
2011-09,0.11,0.1,0.105
2011-10,0.23,0.2,0.215
2011-11,0.08,0.08,0.08
2011-12,0.03,0.03,0.03
2012-01,0.11,0.08,0.095
2012-02,0.13,0.11,0.12
2012-03,0.18,0.19,0.185
2012-04,0.38,0.41,0.395
2012-05,0.46,0.46,0.46
2012-06,0.33,0.34,0.335
2012-07,0.32,0.32,0.32
2012-08,0.15,0.15,0.15
2012-09,0.05,0.05,0.05
2012-10,0.24,0.18,0.21
2012-11,0.21,0.18,0.195
2012-12,0.1,0.1,0.1
2013-01,0.19,0.18,0.185
2013-02,0.14,0.13,0.135
2013-03,0.21,0.18,0.195
2013-04,0.36,0.29,0.325
2013-05,0.23,0.23,0.23
2013-06,0.29,0.31,0.3
2013-07,0.34,0.29,0.315
2013-08,0.19,0.2,0.195
2013-09,0.11,0.12,0.115
2013-10,0.29,0.27,0.28
2013-11,0.09,0.08,0.085
2013-12,0.18,0.18,0.18
2014-01,0.08,0.09,0.085
2014-02,0.16,0.15,0.155
2014-03,0.12,0.12,0.12
2014-04,0.3,0.22,0.26
2014-05,0.37,0.34,0.355
2014-06,0.74,0.72,0.73
2014-07,0.27,0.26,0.265
2014-08,0.26,0.32,0.29
2014-09,0.16,0.18,0.17
2014-10,0.13,0.13,0.13
2014-11,0.06,0.05,0.055
2014-12,0.06,0.06,0.06
2015-01,0.06,0.06,0.06
2015-02,0.06,0.06,0.06
2015-03,0.09,0.09,0.09
2015-04,0.09,0.08,0.085
2015-05,0.51,0.5,0.505
2015-06,0.32,0.28,0.3
2015-07,0.38,0.27,0.325
2015-08,0.75,0.28,0.515
2015-09,0.61,0.46,0.535
2015-10,0.25,0.23,0.24
2015-11,0.31,0.31,0.31
2015-12,0.19,0.2,0.195
2016-01,0.09,0.09,0.09
2016-02,0.11,0.1,0.105
2016-03,0.24,0.24,0.24
2016-04,0.2,0.22,0.21
2016-05,0.16,0.14,0.15
2016-06,0.34,0.29,0.315
2016-07,0.46,0.36,0.41
2016-08,0.43,0.39,0.41
2016-09,0.37,0.4,0.385
2016-10,0.1,0.08,0.09
2016-11,0.27,0.33,0.3
2016-12,0.2,0.19,0.195
2017-01,0.14,0.14,0.14
2017-02,0.14,0.14,0.14
2017-03,0.1,0.09,0.095
2017-04,0.24,0.23,0.235
2017-05,0.18,0.17,0.175
2017-06,0.35,0.35,0.35
2017-07,0.16,0.21,0.185
2017-08,0.31,0.32,0.315
2017-09,0.34,0.42,0.38
2017-10,0.22,0.22,0.22
2017-11,0.11,0.12,0.115
2017-12,0.1,0.09,0.095
2018-01,0.1,0.09,0.095
2018-02,0.18,0.17,0.175
2018-03,0.09,0.08,0.085
2018-04,0.09,0.09,0.09
2018-05,0.23,0.25,0.24
2018-06,0.49,0.46,0.475
2018-07,0.36,0.3,0.33
2018-08,0.14,0.1,0.12
2018-09,0.32,0.33,0.325
2018-10,0.39,0.36,0.375
2018-11,0.11,0.1,0.105
2018-12,0.16,0.19,0.175
2019-01,0.09,0.07,0.08
2019-02,0.26,0.24,0.25
2019-03,0.18,0.14,0.16
2019-04,0.37,0.38,0.375
2019-05,0.22,0.23,0.225
2019-06,0.26,0.23,0.245
2019-07,0.25,0.23,0.24
2019-08,0.25,0.25,0.25
2019-09,0.43,0.44,0.435
2019-10,0.34,0.35,0.345
2019-11,0.2,0.22,0.21
2019-12,0.23,0.26,0.245
