Year,Normalized Temperature Mean (F)
1990-01,0.31869555
1990-02,0.247233341
1990-03,0.451848364
1990-04,0.614433718
1990-05,0.744290087
1990-06,0.91311514
1990-07,0.946315046
1990-08,0.952083824
1990-09,0.812926772
1990-10,0.60878267
1990-11,0.470449729
1990-12,0.202378149
1991-01,0.127148575
1991-02,0.314457264
1991-03,0.453496586
1991-04,0.673181069
1991-05,0.856016011
1991-06,0.940899458
1991-07,0.955851189
1991-08,0.975158936
1991-09,0.792559454
1991-10,0.603013892
1991-11,0.346362138
1991-12,0.246762421
1992-01,0.267247469
1992-02,0.335766423
1992-03,0.426065458
1992-04,0.552389922
1992-05,0.777725453
1992-06,0.830233106
1992-07,0.845302567
1992-08,0.852955027
1992-09,0.754179421
1992-10,0.602660702
1992-11,0.396161997
1992-12,0.206616435
1993-01,0.154579703
1993-02,0.219095832
1993-03,0.405227219
1993-04,0.568872145
1993-05,0.721921356
1993-06,0.836119614
1993-07,0.910642807
1993-08,0.918295267
1993-09,0.712149753
1993-10,0.565811161
1993-11,0.346362138
1993-12,0.239580881
1994-01,0
1994-02,0.136566988
1994-03,0.423475394
1994-04,0.564633859
1994-05,0.767482929
1994-06,0.89098187
1994-07,0.911820108
1994-08,0.871556393
1994-09,0.820461502
1994-10,0.664233577
1994-11,0.45620438
1994-12,0.293148105
1995-01,0.192842006
1995-02,0.170708736
1995-03,0.432187426
1995-04,0.517541794
1995-05,0.740169531
1995-06,0.93501295
1995-07,0.933835649
1995-08,0.924299506
1995-09,0.754532611
1995-10,0.597009654
1995-11,0.283611961
1995-12,0.156110195
1996-01,0.009065223
1996-02,0.177066164
1996-03,0.284789263
1996-04,0.520602778
1996-05,0.708617848
1996-06,0.876147869
1996-07,0.892394632
1996-08,0.923593125
1996-09,0.776077231
1996-10,0.591947257
1996-11,0.305509772
1996-12,0.155286084
1997-01,0.099128797
1997-02,0.228631976
1997-03,0.363433012
1997-04,0.546856605
1997-05,0.663056275
1997-06,0.900047092
1997-07,0.92017895
1997-08,0.860960678
1997-09,0.811043089
1997-10,0.60878267
1997-11,0.358135154
1997-12,0.329644455
1998-01,0.227101483
1998-02,0.415469743
1998-03,0.392276901
1998-04,0.63009183
1998-05,0.784200612
1998-06,0.83305863
1998-07,0.909465505
1998-08,0.926654109
1998-09,0.808217565
1998-10,0.607958559
1998-11,0.408759124
1998-12,0.214151166
1999-01,0.125264893
1999-02,0.31916647
1999-03,0.425359077
1999-04,0.604191194
1999-05,0.743230516
1999-06,0.853779138
1999-07,0.939133506
1999-08,0.868966329
1999-09,0.722274547
1999-10,0.556275018
1999-11,0.465269602
1999-12,0.27572404
2000-01,0.124911702
2000-02,0.317518248
2000-03,0.479632682
2000-04,0.562985637
2000-05,0.739816341
2000-06,0.794089946
2000-07,0.921591712
2000-08,0.875323758
2000-09,0.708146927
2000-10,0.606192607
2000-11,0.382858488
2000-12,0.024605604
2001-01,0.242641865
2001-02,0.091240876
2001-03,0.376030139
2001-04,0.574758653
2001-05,0.741229103
2001-06,0.858488345
2001-07,0.912644219
2001-08,0.903814457
2001-09,0.778902755
2001-10,0.603367083
2001-11,0.55050624
2001-12,0.324699788
2002-01,0.251353897
2002-02,0.339769249
2002-03,0.292794914
2002-04,0.555568637
2002-05,0.685895927
2002-06,0.925594537
2002-07,0.981280904
2002-08,0.91299741
2002-09,0.817635978
2002-10,0.501648222
2002-11,0.378502472
2002-12,0.301036025
2003-01,0.151518719
2003-02,0.146691782
2003-03,0.371438663
2003-04,0.593595479
2003-05,0.744290087
2003-06,0.871909583
2003-07,0.939133506
2003-08,0.951612903
2003-09,0.777607723
2003-10,0.611372734
2003-11,0.360489757
2003-12,0.298092771
2004-01,0.058747351
2004-02,0.286319755
2004-03,0.430186014
2004-04,0.582293384
2004-05,0.676712974
2004-06,0.819637391
2004-07,0.894749235
2004-08,0.812220391
2004-09,0.845891217
2004-10,0.622439369
2004-11,0.455851189
2004-12,0.212973864
2005-01,0.105486226
2005-02,0.287497057
2005-03,0.366847186
2005-04,0.65246056
2005-05,0.729456087
2005-06,0.909818696
2005-07,0.974805745
2005-08,0.904520838
2005-09,0.816576407
2005-10,0.646809513
2005-11,0.432658347
2005-12,0.269955263
2006-01,0.341064281
2006-02,0.177419355
2006-03,0.439839887
2006-04,0.664939958
2006-05,0.785024723
2006-06,0.885095361
2006-07,0.981751825
2006-08,0.919001648
2006-09,0.762302802
2006-10,0.551801271
2006-11,0.437014363
2006-12,0.333882741
2007-01,0.213091594
2007-02,0.133270544
2007-03,0.421473982
2007-04,0.562985637
2007-05,0.791735343
2007-06,0.899693902
2007-07,0.939486696
2007-08,0.899576171
2007-09,0.791735343
2007-10,0.672945609
2007-11,0.423239934
2007-12,0.207440546
2008-01,0.167059101
2008-02,0.170237815
2008-03,0.35472098
2008-04,0.548151636
2008-05,0.692724276
2008-06,0.860372027
2008-07,0.925476807
2008-08,0.919354839
2008-09,0.794914057
2008-10,0.639981163
2008-11,0.426771839
2008-12,0.118083353
2009-01,0.080409701
2009-02,0.243112785
2009-03,0.388509536
2009-04,0.600659289
2009-05,0.712856134
2009-06,0.845891217
2009-07,0.872380504
2009-08,0.881445726
2009-09,0.871085472
2009-10,0.560866494
2009-11,0.533082176
2009-12,0.202378149
2010-01,0.184129974
2010-02,0.255238992
2010-03,0.545326113
2010-04,0.686602308
2010-05,0.778431834
2010-06,0.856133741
2010-07,0.957381681
2010-08,0.9566753
2010-09,0.731339769
2010-10,0.672121498
2010-11,0.448787379
2010-12,0.205792324
2011-01,0.119613845
2011-02,0.228278785
2011-03,0.381327996
2011-04,0.58688486
2011-05,0.748881563
2011-06,0.851777725
2011-07,0.97857311
2011-08,0.943254062
2011-09,0.785495644
2011-10,0.683188133
2011-11,0.477042618
2011-12,0.330468566
2012-01,0.26053685
2012-02,0.346833059
2012-03,0.571109018
2012-04,0.617494702
2012-05,0.791146692
2012-06,0.90605133
2012-07,1
2012-08,0.921709442
2012-09,0.781963739
2012-10,0.606781257
2012-11,0.453143395
2012-12,0.255474453
2013-01,0.192842006
2013-02,0.223216388
2013-03,0.34024017
2013-04,0.505768778
2013-05,0.720744055
2013-06,0.867906758
2013-07,0.940310808
2013-08,0.944431363
2013-09,0.834118201
2013-10,0.627384036
2013-11,0.411113727
2013-12,0.073228161
2014-01,0.048622557
2014-02,0.100070638
2014-03,0.29691547
2014-04,0.533553096
2014-05,0.76100777
2014-06,0.888744996
2014-07,0.915234283
2014-08,0.914881093
2014-09,0.802448787
2014-10,0.636566988
2014-11,0.334589122
2014-12,0.329173534
2015-01,0.206616435
2015-02,0.116906051
2015-03,0.451141983
2015-04,0.613962797
2015-05,0.740875912
2015-06,0.882740758
2015-07,0.964563221
2015-08,0.916411585
2015-09,0.872615964
2015-10,0.660466211
2015-11,0.521309159
2015-12,0.383093949
2016-01,0.223569579
2016-02,0.285495644
2016-03,0.50729927
2016-04,0.591711797
2016-05,0.78985166
2016-06,0.878031552
2016-07,0.951259713
2016-08,0.940310808
2016-09,0.829408995
2016-10,0.67365199
2016-11,0.559453732
2016-12,0.233929833
2017-01,0.241464563
2017-02,0.318342359
2017-03,0.408641394
2017-04,0.631622322
2017-05,0.745820579
2017-06,0.887214504
2017-07,0.953261126
2017-08,0.885213092
2017-09,0.835766423
2017-10,0.6448081
2017-11,0.386743584
2017-12,0.189427831
2018-01,0.193312927
2018-02,0.167765482
2018-03,0.426065458
2018-04,0.499058159
2018-05,0.842006122
2018-06,0.909112315
2018-07,0.962561808
2018-08,0.932305157
2018-09,0.800800565
2018-10,0.570873558
2018-11,0.347068519
2018-12,0.301153756
2019-01,0.114551448
2019-02,0.205674594
2019-03,0.378267012
2019-04,0.587708971
2019-05,0.707558276
2019-06,0.877325171
2019-07,0.975041206
2019-08,0.87685425
2019-09,0.78996939
2019-10,0.620320226
2019-11,0.381327996
2019-12,0.255592183
